"Cohort_Characteristics","Total.mean..SD.","Total.median..IQR.","Total.n","Total.n....","Female.mean..SD.","Female.median..IQR.","Female.n","Female.n....","Male.mean..SD.","Male.median..IQR.","Male.n","Male.n...."
"n value",35.7510638297872,35,NA,NA,36.0720720720721,35,NA,NA,35.6518105849582,35,NA,NA
"Age, years",NA,NA,470,100,NA,NA,111,23.6170212765957,NA,NA,359,76.3829787234043
"Race group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homeless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Number of hospitalisations for medical problems in their lifetime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Number of times entered a detox programme in the past 6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Average number of drinks consumed per day in the past 30 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Primary substance of abuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alcohol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocaine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heroin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Any substance abuse post-detox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time to first substance abuse post-detox, days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
